"","SiO2","TiO2","Al2O3","Fe2O3","MnO","MgO","CaO","Na2O","K2O","P2O5","LOI","okataina"
"166",76.66,0.18,12.76,1.58,0.05,0.27,1.29,3.6,3.59,0.02,2.16,"TRUE"
"167",76.92,0.17,13.24,1.49,0.04,0.2,1.05,3.24,3.64,0.01,4.06,"TRUE"
"168",77.8,0.19,12.59,1.26,0.04,0.23,1.04,3.02,3.81,0.01,2.59,"TRUE"
"169",77.75,0.19,12.96,1.06,0.04,0.28,1.04,2.77,3.89,0.01,3.95,"TRUE"
"170",77.3,0.23,12.79,1.26,0.04,0.38,1.27,3.05,3.65,0.01,4.84,"TRUE"
"171",76.48,0.19,13,1.68,0.05,0.24,1.47,3.44,3.44,0.01,2.81,"TRUE"
"172",77.12,0.21,12.84,1,0.04,0.32,1.48,3.84,3.12,0.01,4.17,"TRUE"
"173",75.21,0.24,14.27,1.89,0.04,0.27,1.13,3.22,3.72,0.01,3.3,"TRUE"
"174",77,0.18,12.45,1.65,0.04,0.31,1.41,3.4,3.54,0.01,3.53,"TRUE"
"175",76.59,0.2,13.1,1.56,0.05,0.35,1.2,3.44,3.5,0.01,3.28,"TRUE"
"176",75.93,0.22,13.24,1.79,0.05,0.44,1.44,3.64,3.24,0.01,3.41,"TRUE"
"177",75.56,0.23,13.63,1.77,0.05,0.41,1.48,3.57,3.28,0.02,3.22,"TRUE"
"178",75.17,0.23,13.68,2.06,0.05,0.27,1.49,3.76,3.28,0.02,2.36,"TRUE"
"179",76.64,0.18,13.18,1.78,0.05,0.25,1.17,3.36,3.38,0.01,2.82,"TRUE"
"180",77.79,0.12,12.4,1.25,0.04,0.16,0.94,3.21,4.07,0.01,2.72,"TRUE"
"181",76.77,0.16,13.91,1.58,0.04,0.27,0.86,2.78,3.61,0.01,4.68,"TRUE"
"182",76.37,0.13,13.81,1.68,0.04,0.1,0.86,3.29,3.71,0.01,4,"TRUE"
"183",77.15,0.12,12.89,1.55,0.04,0.09,0.85,3.57,3.73,0.01,2.66,"TRUE"
"184",77.01,0.11,13.34,1.28,0.04,0.24,0.83,3.26,3.87,0.01,3.56,"TRUE"
"185",77.56,0.11,12.56,1.32,0.04,0.14,0.88,3.65,3.72,0.01,2.33,"TRUE"
"186",77.22,0.12,12.67,1.34,0.04,0.18,1.02,3.67,3.74,0.01,3.4,"TRUE"
"187",77.59,0.1,12.45,1.3,0.05,0.18,0.81,3.67,3.84,0.01,3.54,"TRUE"
"188",77.49,0.12,12.51,1.31,0.04,0.18,0.87,3.62,3.86,0.01,4.44,"TRUE"
"189",76.72,0.11,12.45,1.29,0.06,0.25,0.83,4.22,4.05,0.01,4.89,"TRUE"
"190",76.96,0.11,13.24,1.32,0.04,0.14,0.79,3.65,3.73,0.01,3.02,"TRUE"
"191",77.72,0.1,12.48,1.29,0.04,0.14,0.84,3.72,3.65,0.01,2.76,"TRUE"
"192",77.43,0.11,12.77,1.21,0.04,0.23,0.84,3.71,3.65,0.01,3.37,"TRUE"
"193",77.75,0.11,12.55,1.17,0.04,0.23,0.82,3.46,3.85,0.01,3.46,"TRUE"
"194",77.38,0.1,12.77,1.3,0.04,0.15,0.86,3.66,3.72,0.01,4.01,"TRUE"
"195",76.21,0.12,14.27,1.42,0.04,0.15,0.76,3.42,3.6,0.01,4.22,"TRUE"
"196",75.94,0.13,14.54,1.33,0.04,0.24,0.86,3.24,3.67,0.01,4.71,"TRUE"
"197",76.41,0.11,13.71,1.48,0.04,0.09,0.89,3.7,3.55,0.01,3.59,"TRUE"
"198",76.97,0.19,12.77,1.33,0.06,0.33,1.11,4.12,3.1,0.02,4.09,"TRUE"
"199",77.61,0.11,12.5,1.17,0.04,0.24,0.85,3.59,3.87,0.01,3.86,"TRUE"
"200",78.13,0.1,12.38,0.84,0.04,0.15,0.82,3.48,4.04,0.01,3.65,"TRUE"
"201",77.64,0.1,12.42,0.92,0.04,0.18,0.87,3.93,3.88,0.01,3.27,"TRUE"
"202",77.63,0.11,12.64,1.56,0.04,0.21,0.89,2.9,4.01,0.01,3.91,"TRUE"
"203",77.89,0.11,12.38,1.4,0.04,0.18,0.83,3.32,3.83,0.01,4.07,"TRUE"
"204",77.59,0.12,12.55,1.47,0.04,0.2,0.98,3.31,3.73,0.01,3.52,"TRUE"
"205",77.71,0.15,12.77,1.3,0.04,0.21,1.16,3.25,3.4,0.01,3.06,"TRUE"
"206",77.51,0.12,12.34,1.25,0.04,0.29,1.05,3.4,3.99,0.01,3.32,"TRUE"
"207",77.78,0.12,12.47,1.12,0.04,0.26,0.95,3.17,4.07,0.01,3.49,"TRUE"
"208",76.71,0.12,13.63,1.41,0.04,0.17,0.84,3.43,3.63,0.02,3.61,"TRUE"
"209",77.62,0.12,12.69,1.16,0.04,0.21,0.84,3.21,4.1,0.01,4.87,"TRUE"
"210",77.41,0.11,12.62,0.86,0.04,0.22,0.96,3.7,4.07,0.01,3.64,"TRUE"
"211",76.35,0.13,13.5,1.31,0.04,0.26,0.88,3.52,4,0.01,4.19,"TRUE"
"212",75.97,0.12,14.23,1.44,0.04,0.17,0.87,3.04,4.11,0.01,3.64,"TRUE"
"213",75.58,0.13,14.89,1.39,0.04,0.24,0.75,3.25,3.71,0.01,4.48,"TRUE"
"214",76.81,0.12,13.51,1.43,0.04,0.16,0.79,3.24,3.88,0.01,4.25,"TRUE"
"215",75.46,0.13,14.95,1.39,0.04,0.24,0.84,3.52,3.42,0.01,4.22,"TRUE"
"216",77.15,0.11,13.09,1.3,0.04,0.14,0.84,3.69,3.62,0.01,2.53,"TRUE"
"217",76.93,0.11,13.27,1.27,0.04,0.24,0.88,3.56,3.69,0.01,2.96,"TRUE"
"218",76.86,0.12,13.43,1.44,0.04,0.18,0.81,3.56,3.57,0.01,3.12,"TRUE"
"219",77.25,0.13,12.72,1.33,0.05,0.26,0.95,3.4,3.89,0.01,3.46,"TRUE"
"220",77.06,0.14,12.75,1.44,0.05,0.29,1.02,3.57,3.65,0.01,3.28,"TRUE"
"221",76.19,0.12,14.06,1.32,0.04,0.24,0.87,3.7,3.44,0.01,3.85,"TRUE"
"222",77.6,0.1,12.49,1.29,0.04,0.15,0.81,3.84,3.66,0.01,3.99,"TRUE"
"223",77.42,0.11,12.41,1.26,0.04,0.2,0.83,3.78,3.94,0.01,4.8,"TRUE"
"224",77.11,0.11,13.06,1.37,0.04,0.16,0.85,3.33,3.96,0.01,3.49,"TRUE"
"225",76.91,0.11,13.26,1.4,0.04,0.16,0.83,3.23,4.04,0.01,3.34,"TRUE"
"226",76.74,0.11,13.46,1.38,0.04,0.16,0.86,3.19,4.06,0.01,3.47,"TRUE"
"227",76.82,0.12,13.3,1.43,0.04,0.17,0.84,3.35,3.92,0.01,4.47,"TRUE"
"228",77.3,0.11,12.86,1.35,0.04,0.15,0.84,3.49,3.86,0.01,4.06,"TRUE"
"229",77.26,0.11,12.98,1.36,0.04,0.15,0.85,3.43,3.8,0.01,3.89,"TRUE"
"230",77.27,0.12,13.22,1.25,0.04,0.24,0.85,3.14,3.86,0.01,4.48,"TRUE"
"231",77.48,0.11,12.88,1.32,0.04,0.16,0.86,3.27,3.85,0.01,3.63,"TRUE"
"232",77.32,0.11,13.11,1.38,0.04,0.16,0.83,3.18,3.85,0.01,3.47,"TRUE"
"233",77.48,0.12,13.02,1.23,0.04,0.23,0.84,3.14,3.89,0.01,4.32,"TRUE"
"234",77.76,0.1,12.54,1.29,0.04,0.15,0.85,3.41,3.84,0.01,4.1,"TRUE"
"235",77.71,0.1,12.63,1.15,0.04,0.23,0.89,3.39,3.85,0.01,4.19,"TRUE"
"236",77.77,0.1,12.44,1.26,0.04,0.15,0.84,3.59,3.8,0.01,3.72,"TRUE"
"237",77.71,0.11,12.6,1.14,0.04,0.23,0.89,3.37,3.9,0.01,4.72,"TRUE"
"238",77.77,0.11,12.45,1.27,0.04,0.15,0.84,3.61,3.74,0.01,2.69,"TRUE"
"239",78.03,0.11,12.42,1.18,0.04,0.24,0.81,3.21,3.95,0.01,3.72,"TRUE"
"240",78.11,0.1,12.4,1.16,0.04,0.24,0.81,3.3,3.83,0.01,3.25,"TRUE"
"241",76.79,0.13,13.55,1.34,0.04,0.24,0.83,3.44,3.63,0.01,3.93,"TRUE"
"242",75.84,0.16,14.62,1.73,0.04,0.17,1.02,2.9,3.52,0.01,4.63,"TRUE"
"243",77.49,0.12,12.74,1.25,0.04,0.24,0.83,3.54,3.74,0.01,4.66,"TRUE"
"244",77.52,0.11,12.9,1.24,0.04,0.15,0.84,3.34,3.85,0.01,3.69,"TRUE"
"245",77.72,0.1,12.59,1.26,0.04,0.15,0.87,3.36,3.9,0.01,4.14,"TRUE"
"246",75.74,0.12,14.82,1.5,0.04,0.16,0.85,3.21,3.56,0.01,4.31,"TRUE"
"247",76.66,0.12,13.62,1.4,0.04,0.15,0.86,3.5,3.62,0.01,2.99,"TRUE"
"248",77.96,0.1,12.53,1.29,0.04,0.15,0.82,3.16,3.94,0.01,4.59,"TRUE"
"249",77.85,0.11,12.44,1.29,0.04,0.14,0.83,3.52,3.76,0.01,3.94,"TRUE"
"250",77.92,0.1,12.51,1.16,0.04,0.23,0.86,3.27,3.91,0.01,3.19,"TRUE"
"251",76.77,0.13,13.5,1.31,0.04,0.25,0.84,3.56,3.59,0.01,4.4,"TRUE"
"252",77.01,0.16,13.13,1.65,0.05,0.19,0.7,3.55,3.55,0.01,3.9,"TRUE"
"253",74.88,0.27,14.5,1.81,0.08,0.31,1.22,4.14,2.76,0.02,3.85,"TRUE"
"254",76.66,0.11,13.44,1.53,0.04,0.08,0.88,3.61,3.62,0.01,3.67,"TRUE"
"255",74.95,0.22,14.48,1.76,0.04,0.36,1.72,3.58,2.89,0.02,4.28,"TRUE"
"256",75.96,0.19,13.53,1.63,0.04,0.31,1.42,3.8,3.11,0.01,4.24,"TRUE"
"257",76.4,0.13,14.11,1.45,0.05,0.08,0.79,3.53,3.44,0.01,4.37,"TRUE"
"258",75.19,0.21,14.52,1.8,0.05,0.21,1.24,3.57,3.2,0.01,4.79,"TRUE"
"259",77.47,0.14,12.44,1.12,0.02,0.27,0.91,3.75,3.87,0.01,2.67,"TRUE"
"260",76.39,0.2,13.84,0.43,0.03,0.23,1.67,3.7,3.48,0.02,2.28,"TRUE"
"261",76.94,0.15,12.67,1.46,0.05,0.25,0.98,3.46,4.02,0.01,0.83,"TRUE"
"262",77.52,0.12,12.35,1.37,0.04,0.17,0.91,3.96,3.54,0.01,2.38,"TRUE"
"263",77.58,0.13,12.25,1.32,0.03,0.16,0.86,3.88,3.78,0.01,0.25,"TRUE"
"264",78.44,0.12,12.63,1.08,0.04,0.23,0.87,2.7,3.87,0.01,4.81,"TRUE"
"265",78.66,0.11,12.42,1.27,0.04,0.15,0.83,2.66,3.86,0.01,3.61,"TRUE"
"266",78.51,0.1,12.58,1.18,0.04,0.23,0.82,2.59,3.93,0.01,4.18,"TRUE"
"267",77.61,0.11,12.54,1.17,0.04,0.23,0.86,3.71,3.73,0.01,4.65,"TRUE"
"268",77.78,0.1,12.64,1.16,0.04,0.23,0.91,3.36,3.78,0.01,3.1,"TRUE"
"269",77.47,0.12,12.75,1.2,0.04,0.23,0.88,3.48,3.83,0.01,4.51,"TRUE"
"270",77.39,0.11,12.54,1.36,0.05,0.17,0.89,3.86,3.61,0.01,3.54,"TRUE"
"271",77.37,0.12,12.53,1.38,0.04,0.15,0.99,3.97,3.45,0.01,1.77,"TRUE"
"272",77.5,0.1,12.64,1.29,0.04,0.12,0.88,3.78,3.63,0.01,3.6,"TRUE"
"273",77.04,0.1,12.64,1.36,0.04,0.2,0.91,4.02,3.68,0.01,4.07,"TRUE"
"274",77.1,0.1,12.78,1.32,0.05,0.23,0.89,3.85,3.67,0.01,4.16,"TRUE"
"275",77.53,0.1,12.42,1.29,0.04,0.15,0.88,4.02,3.55,0.01,1.49,"TRUE"
"276",77.35,0.1,12.72,1.29,0.04,0.14,0.84,3.78,3.72,0.01,3.03,"TRUE"
"277",77.48,0.11,12.83,1.31,0.04,0.14,0.87,3.69,3.51,0.01,0.19,"TRUE"
"278",77.48,0.1,12.42,1.29,0.04,0.14,0.83,4.03,3.65,0.01,1.45,"TRUE"
"279",77.75,0.1,12.38,1.29,0.04,0.14,0.86,3.81,3.61,0.01,3.01,"TRUE"
"280",77.49,0.11,12.4,1.3,0.04,0.17,0.88,4.02,3.57,0.01,2.63,"TRUE"
"281",77.5,0.12,12.37,1.42,0.04,0.17,0.99,3.96,3.42,0.01,1.86,"TRUE"
"282",77.56,0.1,12.65,1.29,0.04,0.15,0.83,3.64,3.72,0.01,3.76,"TRUE"
"283",77.16,0.11,12.87,1.23,0.04,0.23,0.9,3.87,3.58,0.01,3.99,"TRUE"
"284",77.51,0.16,12.73,1.26,0.05,0.19,0.92,3.9,3.25,0.03,4.11,"TRUE"
"285",77.18,0.17,12.77,1.32,0.06,0.22,1.03,4.04,3.18,0.03,2.91,"TRUE"
"286",77.04,0.17,12.96,1.37,0.06,0.21,0.97,3.97,3.22,0.04,3.24,"TRUE"
"287",76.06,0.19,14.09,1.52,0.05,0.22,0.9,3.85,3.1,0.03,3.38,"TRUE"
"288",76.35,0.19,13.75,1.47,0.05,0.22,0.94,3.9,3.1,0.03,3.35,"TRUE"
"289",77.44,0.15,12.7,1.23,0.06,0.2,0.96,4.03,3.21,0.03,3,"TRUE"
"290",76.88,0.17,13.25,1.24,0.05,0.28,1.04,3.86,3.18,0.04,4.57,"TRUE"
"291",77.52,0.15,12.64,1.26,0.05,0.19,0.89,4.01,3.25,0.04,3.64,"TRUE"
"292",77.12,0.16,12.95,1.43,0.05,0.13,1,3.91,3.21,0.04,4.24,"TRUE"
"293",75.66,0.22,13.52,1.94,0.06,0.29,1.35,3.75,3.13,0.06,3.28,"TRUE"
"294",77.1,0.12,13.28,1.6,0.04,0.09,0.82,3.24,3.68,0.01,3.87,"TRUE"
"295",77.93,0.11,12.54,1.32,0.04,0.15,0.82,3.23,3.85,0.01,3.32,"TRUE"
"296",76.9,0.17,13.05,1.35,0.06,0.21,1.06,4,3.16,0.04,3.68,"TRUE"
"297",76.84,0.17,13.14,1.33,0.05,0.2,1.07,4,3.16,0.04,4.43,"TRUE"
"298",76.58,0.11,13.72,1.56,0.04,0.08,0.9,3.16,3.83,0.01,3.91,"TRUE"
"299",76.66,0.17,13.15,1.51,0.06,0.15,1.1,4.05,3.12,0.03,3.09,"TRUE"
"300",74.85,0.25,13.98,1.88,0.06,0.33,1.64,3.75,3.19,0.08,3.12,"TRUE"
"301",74.84,0.26,13.72,1.93,0.06,0.36,1.6,3.96,3.25,0.02,3.19,"TRUE"
"302",75.13,0.24,13.66,1.83,0.06,0.34,1.59,3.88,3.24,0.02,4.97,"TRUE"
"303",77.36,0.17,13.1,1.2,0.05,0.13,0.89,3.78,3.25,0.07,4,"TRUE"
"304",76.46,0.16,13.21,1.7,0.05,0.14,0.94,4.08,3.19,0.06,4.71,"TRUE"
"305",77.69,0.11,12.81,1.18,0.04,0.07,0.87,3.19,4.02,0.01,4.15,"TRUE"
"306",77.76,0.11,12.9,1.2,0.04,0.07,0.83,3.19,3.88,0.01,4.1,"TRUE"
"307",77.93,0.11,12.58,1.16,0.04,0.07,0.8,3.42,3.87,0.01,4.34,"TRUE"
"308",77.2,0.15,12.55,1.3,0.02,0.17,0.96,3.74,3.89,0.01,0.9,"TRUE"
"309",75.28,0.22,13.9,1.96,0.06,0.29,1.36,3.69,3.21,0.02,4.03,"TRUE"
"310",74.33,0.27,14.46,2.28,0.06,0.3,1.5,3.55,3.2,0.03,4.39,"TRUE"
"311",77.54,0.17,12.18,1.7,0.05,0.23,1.3,4.02,2.79,0.02,1.01,"TRUE"
"312",74.76,0.23,13.74,1.91,0.06,0.38,1.69,3.97,3.22,0.05,2.85,"TRUE"
"313",74.46,0.24,13.9,1.84,0.06,0.49,1.68,3.98,3.31,0.05,3.03,"TRUE"
"314",73.78,0.25,14.47,2,0.06,0.41,1.68,4.01,3.29,0.04,3.11,"TRUE"
"315",74.5,0.25,14.07,1.85,0.05,0.49,1.72,3.88,3.13,0.04,4.37,"TRUE"
"316",75.24,0.23,13.62,1.87,0.05,0.38,1.6,3.83,3.14,0.04,3.53,"TRUE"
"317",73.2,0.3,14.52,2.4,0.06,0.57,2.37,3.63,2.92,0.02,3.77,"TRUE"
"318",74.41,0.31,14.11,2.29,0.03,0.56,1.49,3.42,3.37,0.02,1.8,"TRUE"
"319",77.29,0.13,12.63,1.42,0.04,0.19,1.02,3.91,3.36,0.01,3.46,"TRUE"
"320",77.35,0.1,12.62,1.27,0.04,0.14,0.91,3.98,3.58,0.01,2.89,"TRUE"
"321",76.12,0.29,14.15,1.34,0.01,0.23,1.04,3.16,3.64,0.02,1.79,"TRUE"
"322",75.62,0.24,13.7,1.89,0.02,0.22,1.21,3.5,3.59,0.02,2.65,"TRUE"
"323",75.87,0.23,13.24,1.8,0.05,0.4,1.38,3.95,3.06,0.02,1.48,"TRUE"
"324",73.2,0.33,14.78,2.52,0.06,0.51,1.99,3.15,3.45,0.01,3.93,"TRUE"
"325",71.01,0.41,17.01,2.85,0.05,0.62,2.19,3.16,2.68,0.01,4.89,"TRUE"
"326",72.95,0.31,16.2,1.98,0.04,0.46,1.91,3.1,3.04,0.01,3.96,"TRUE"
"327",73.44,0.31,15.72,1.84,0.04,0.42,1.75,3.08,3.39,0.01,4.34,"TRUE"
"328",74.71,0.27,14.39,1.69,0.04,0.32,1.75,3.25,3.56,0.01,3.74,"TRUE"
"329",77,0.17,12.65,1.45,0.05,0.2,0.98,3.58,3.91,0.01,3.64,"FALSE"
"330",75.08,0.27,13.59,1.38,0.05,0.45,1.81,3.69,3.67,0.02,3.35,"FALSE"
